Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,PA,"215,924",1990
PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,DC,"214,309",1990
PINN,Pinnacles National Park,National Park,CA,"214,268",1990
FOVA,Fort Vancouver National Historic Site,National Historic Site,WA,"210,380",1990
LIBO,Lincoln Boyhood National Memorial,National Memorial,IN,"210,377",1990
CRMO,Craters of the Moon National Monument,National Monument,ID,"207,766",1990
NEPE,Nez Perce National Historical Park,National Historical Park,WA,"199,534",1990
CHAM,Chamizal National Memorial,National Memorial,TX,"199,007",1990
BOAF,Boston African American National Historic Site,National Historic Site,MA,"194,531",1990
LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,TX,"193,066",1990
GUMO,Guadalupe Mountains National Park,National Park,TX,"192,890",1990
STRI,Stones River National Battlefield,National Battlefield,TN,"192,400",1990
GUCO,Guilford Courthouse National Military Park,National Military Park,NC,"189,013",1990
GLBA,Glacier Bay National Park,National Park,AK,"186,427",1990
GLBA,Glacier Bay National Preserve,National Preserve,AK,"186,427",1990
FONE,Fort Necessity National Battlefield,National Battlefield,PA,"182,104",1990
HUTR,Hubbell Trading Post National Historic Site,National Historic Site,AZ,"180,923",1990
PEVI,Perry's Victory and International Peace Memorial,National Memorial,OH,"176,909",1990
CAGR,Casa Grande Ruins National Monument,National Monument,AZ,"175,025",1990
SCBL,Scotts Bluff National Monument,National Monument,NE,"171,788",1990
HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,NY,"169,468",1990
SAHI,Sagamore Hill National Historic Site,National Historic Site,NY,"168,975",1990
SARA,Saratoga National Historical Park,National Historical Park,NY,"163,910",1990
DEPO,Devils Postpile National Monument,National Monument,CA,"158,662",1990
WICR,Wilson's Creek National Battlefield,National Battlefield,MO,"156,676",1990
JOFL,Johnstown Flood National Memorial,National Memorial,PA,"156,534",1990
GEWA,George Washington Birthplace National Monument,National Monument,VA,"154,083",1990
DESO,De Soto National Memorial,National Memorial,FL,"147,675",1990
CHIS,Channel Islands National Park,National Park,CA,"144,083",1990
APIS,Apostle Islands National Lakeshore,National Lakeshore,WI,"140,980",1990
JECA,Jewel Cave National Monument,National Monument,SD,"137,316",1990
WACA,Walnut Canyon National Monument,National Monument,AZ,"134,429",1990
ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,PA,"131,735",1990
ANDE,Andersonville National Historic Site,National Historic Site,GA,"131,406",1990
BICY,Big Cypress National Preserve,National Preserve,FL,"127,790",1990
COWP,Cowpens National Battlefield,National Battlefield,SC,"124,858",1990
SITK,Sitka National Historical Park,National Historical Park,AK,"123,693",1990
OCMU,Ocmulgee National Monument,National Monument,GA,"122,386",1990
HSTR,Harry S Truman National Historic Site,National Historic Site,MO,"120,057",1990
STEA,Steamtown National Historic Site,National Historic Site,PA,"119,990",1990
GERO,George Rogers Clark National Historical Park,National Historical Park,IN,"119,751",1990
TUZI,Tuzigoot National Monument,National Monument,AZ,"118,386",1990
EISE,Eisenhower National Historic Site,National Historic Site,PA,"116,936",1990
TICA,Timpanogos Cave National Monument,National Monument,UT,"114,247",1990
PERI,Pea Ridge National Military Park,National Military Park,AR,"109,972",1990
EFMO,Effigy Mounds National Monument,National Monument,IA,"108,522",1990
PIPE,Pipestone National Monument,National Monument,MN,"106,623",1990
OBRI,Obed Wild and Scenic River,Wild and Scenic River,TN,"104,902",1990
KLGO,Klondike Gold Rush National Historical Park,National Historical Park,AK,"103,404",1990
NABR,Natural Bridges National Monument,National Monument,UT,"101,958",1990
CHRI,Christiansted National Historic Site,National Historic Site,VI,"101,859",1990
FOCA,Fort Caroline National Memorial,National Memorial,FL,"100,897",1990
HOFU,Hopewell Furnace National Historic Site,National Historic Site,PA,"99,216",1990
ORCA,Oregon Caves National Monument and Preserve,National Monument,OR,"99,158",1990
HOBE,Horseshoe Bend National Military Park,National Military Park,AL,"98,606",1990
JODA,John Day Fossil Beds National Monument,National Monument,OR,"98,435",1990
FLFO,Florissant Fossil Beds National Monument,National Monument,CO,"94,844",1990
WHMI,Whitman Mission National Historic Site,National Historic Site,WA,"85,287",1990
FOSM,Fort Smith National Historic Site,National Historic Site,AR,"85,233",1990
GEGR,General Grant National Memorial,National Memorial,NY,"83,447",1990
AZRU,Aztec Ruins National Monument,National Monument,NM,"80,037",1990
ELMA,El Malpais National Monument,National Monument,NM,"78,993",1990
ARPO,Arkansas Post National Memorial,National Memorial,AR,"78,468",1990
CHIR,Chiricahua National Monument,National Monument,AZ,"78,191",1990
BITH,Big Thicket National Preserve,National Preserve,TX,"77,930",1990
NAVA,Navajo National Monument,National Monument,AZ,"76,808",1990
FOSC,Fort Scott National Historic Site,National Historic Site,KS,"76,294",1990
CHCU,Chaco Culture National Historical Park,National Historical Park,NM,"72,675",1990
LABE,Lava Beds National Monument,National Monument,CA,"72,570",1990
GRPO,Grand Portage National Monument,National Monument,MI,"72,250",1990
ANJO,Andrew Johnson National Historic Site,National Historic Site,TN,"71,017",1990
ELMO,El Morro National Monument,National Monument,NM,"69,343",1990
FOLA,Fort Laramie National Historic Site,National Historic Site,WY,"66,892",1990
KEFJ,Kenai Fjords National Park,National Park,AK,"66,115",1990
GRBA,Great Basin National Park,National Park,NV,"65,026",1990
TUMA,Tumacacori National Historical Park,National Historical Park,AZ,"63,945",1990
PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,HI,"63,398",1990
WAPA,War in the Pacific National Historical Park,War in the Pacific,GU,"61,166",1990
CORO,Coronado National Memorial,National Memorial,AZ,"56,993",1990
FODA,Fort Davis National Historic Site,National Historic Site,TX,"56,547",1990
EDIS,Thomas Edison National Historical Park,National Historic Site,NJ,"55,872",1990
CLBA,Clara Barton National Historic Site,National Historic Site,MD,"55,469",1990
CARL,Carl Sandburg Home National Historic Site,National Historic Site,NC,"54,568",1990
CAVO,Capulin Volcano National Monument,National Monument,NM,"53,857",1990
FOST,Fort Stanwix National Monument,National Monument,NY,"53,007",1990
GICL,Gila Cliff Dwellings National Monument,National Monument,NM,"52,316",1990
MOCR,Moores Creek National Battlefield,National Battlefield,NC,"51,640",1990
FRDO,Frederick Douglass National Historic Site,National Historic Site,DC,"50,094",1990
GWCA,George Washington Carver National Monument,National Monument,MO,"49,174",1990
GOSP,Golden Spike National Historic Site,National Historic Site,UT,"48,781",1990
PISP,Pipe Spring National Monument,National Monument,AZ,"46,442",1990
NISI,Ninety Six National Historic Site,National Historic Site,SC,"45,729",1990
SAIR,Saugus Iron Works National Historic Site,National Historic Site,MA,"45,652",1990
TONT,Tonto National Monument,National Monument,AZ,"45,536",1990
PECO,Pecos National Historical Park,National Historical Park,NM,"45,316",1990
BIHO,Big Hole National Battlefield,National Battlefield,MT,"43,820",1990
BEOL,Bent's Old Fort National Historic Site,National Historic Site,CO,"43,209",1990
ELRO,Eleanor Roosevelt National Historic Site,National Historic Site,NY,"42,833",1990
THIS,Theodore Roosevelt Island,National Memorial,DC,"42,426",1990
KATM,Katmai National Park,National Park,AK,"40,778",1990
KATM,Katmai National Preserve,National Preserve,AK,"40,778",1990
THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,NY,"38,527",1990
HOCU,Hopewell Culture National Historical Park,National Historical Park,OH,"38,509",1990
FOLS,Fort Larned National Historic Site,National Historic Site,KS,"38,399",1990
HOME,Homestead National Monument of America,National Monument,NE,"38,101",1990
CUIS,Cumberland Island National Seashore,National Seashore,GA,"36,414",1990
SAPU,Salinas Pueblo Missions National Monument,National Monument,NM,"36,313",1990
WRST,Wrangell-St. Elias National Park,National Park,AK,"35,976",1990
WRST,Wrangell-St. Elias National Preserve,National Preserve,AK,"35,976",1990
SAGA,Saint-Gaudens National Historic Site,National Historic Site,NH,"35,955",1990
JICA,Jimmy Carter National Historic Site,National Historic Site,GA,"34,822",1990
BUIS,Buck Island Reef National Monument,National Monument,VI,"32,337",1990
FOUS,Fort Union Trading Post National Historic Site,National Historic Site,ND,"32,222",1990
HAMP,Hampton National Historic Site,National Historic Site,MD,"29,149",1990
HOVE,Hovenweep National Monument,National Monument,UT,"27,260",1990
HAGR,Hamilton Grange National Memorial,National Memorial,NY,"27,182",1990
GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,MT,"26,753",1990
FOBU,Fossil Butte National Monument,National Monument,WY,"26,471",1990
JOMU,John Muir National Historic Site,National Historic Site,CA,"26,234",1990
BOWA,Booker T. Washington National Monument,National Monument,VA,"25,060",1990
KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,HI,"23,580",1990
RUCA,Russell Cave National Monument,National Monument,AL,"23,553",1990
ISRO,Isle Royale National Park,National Park,MI,"23,495",1990
CONG,Congaree National Park,National Park,SC,"23,223",1990
ADAM,Adams National Historical Park,National Historical Park,MA,"20,315",1990
ROWI,Roger Williams National Memorial,National Memorial,RI,"20,296",1990
DRTO,Dry Tortugas National Park,National Park,FL,"19,402",1990
FRHI,Friendship Hill National Historic Site,National Historic Site,PA,"17,312",1990
FOUN,Fort Union National Monument,National Monument,NM,"17,031",1990
SPAR,Springfield Armory National Historic Site,National Historic Site,MA,"16,534",1990
JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,MA,"16,391",1990
WORI,Women's Rights National Historical Park,National Historical Park,NY,"15,853",1990
LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,MA,"15,042",1990
AGFO,Agate Fossil Beds National Monument,National Monument,NE,"14,482",1990
KNRI,Knife River Indian Villages National Historic Site,National Historic Site,ND,"12,534",1990
EDAL,Edgar Allan Poe National Historic Site,National Historic Site,PA,"11,638",1990
MAVA,Martin Van Buren National Historic Site,National Historic Site,NY,"11,569",1990
THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,NY,"11,255",1990
LACL,Lake Clark National Park,National Park,AK,"10,196",1990
LACL,Lake Clark National Preserve,National Preserve,AK,"10,196",1990
WIHO,William Howard Taft National Historic Site,National Historic Site,OH,"7,599",1990
FOBO,Fort Bowie National Historic Site,National Historic Site,AZ,"7,592",1990
THKO,Thaddeus Kosciuszko National Memorial,National Memorial,PA,"6,422",1990
MAWA,Maggie L. Walker National Historic Site,National Historic Site,VA,"5,938",1990
NOAT,Noatak National Preserve,National Preserve,AK,"5,126",1990
FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,MA,"4,065",1990
EUON,Eugene O'Neill National Historic Site,National Historic Site,CA,"3,654",1990
ALFL,Alibates Flint Quarries National Monument,National Monument,TX,"3,418",1990
CAKR,Cape Krusenstern National Monument,National Monument,AK,"2,939",1990
KOVA,Kobuk Valley National Park,National Park,AK,"2,586",1990
YUCH,Yukon-Charley Rivers National Preserve,National Preserve,AK,"1,965",1990
GAAR,Gates of the Arctic National Park,National Park,AK,"1,010",1990
GAAR,Gates of the Arctic National Preserve,National Preserve,AK,"1,010",1990
ANIA,Aniakchak National Monument,National Monument,AK,967,1990
ANIA,Aniakchak National Preserve,National Preserve,AK,967,1990
RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,TX,525,1990
LACH,Lake Chelan National Recreation Area,National Recreation Area,WA, -   ,1990
ROLA,Ross Lake National Recreation Area,National Recreation Area,WA, -   ,1990
GOGA,Golden Gate National Recreation Area,National Recreation Area,CA,"16,656,896",1989
BLRI,Blue Ridge Parkway,Parkway,NC,"16,176,171",1989
NATR,Natchez Trace Parkway,Parkway,MS,"10,837,879",1989
NACA,National Capital Parks,Park,DC,"8,934,149",1989
LAKE,Lake Mead National Recreation Area,National Recreation Area,NV,"8,495,295",1989
GRSM,Great Smoky Mountains National Park,National Park,NC,"8,333,553",1989
GATE,Gateway National Recreation Area,National Recreation Area,NY,"6,748,181",1989
ACAD,Acadia National Park,National Park,ME,"5,440,952",1989
SAFR,San Francisco Maritime National Historical Park,National Historical Park,CA,"5,203,302",1989
INDE,Independence National Historical Park,National Historical Park,PA,"5,174,682",1989
CACO,Cape Cod National Seashore,National Seashore,MA,"5,020,069",1989
VAFO,Valley Forge National Historical Park,National Historical Park,PA,"4,700,074",1989
GUIS,Gulf Islands National Seashore,National Seashore,FL,"4,458,368",1989
GRCA,Grand Canyon National Park,National Park,AZ,"3,966,209",1989
GLCA,Glen Canyon National Recreation Area,National Recreation Area,UT,"3,452,847",1989
YOSE,Yosemite National Park,National Park,CA,"3,308,159",1989
CACL,Castle Clinton National Monument,National Monument,NY,"3,285,976",1989
GWMP,George Washington Memorial Parkway,National Parkway,VA,"3,048,161",1989
OLYM,Olympic National Park,National Park,WA,"2,737,611",1989
STLI,Statue Of Liberty National Monument,National Monument,NY,"2,655,797",1989
YELL,Yellowstone National Park,National Park,WY,"2,644,442",1989
VIVE,Vietnam Veterans Memorial,National Memorial,DC,"2,594,694",1989
JEFF,Jefferson National Expansion Memorial,National Memorial,MO,"2,518,712",1989
ROMO,Rocky Mountain National Park,National Park,CO,"2,502,915",1989
DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,PA,"2,434,195",1989
SAJU,San Juan National Historic Site,National Historic Site,PR,"2,425,305",1989
COLO,Colonial National Historical Park,National Historical Park,VA,"2,223,181",1989
PORE,Point Reyes National Seashore,National Seashore,CA,"2,204,407",1989
BOST,Boston National Historical Park,National Historical Park,MA,"2,135,152",1989
CAHA,Cape Hatteras National Seashore,National Seashore,NC,"2,097,991",1989
ASIS,Assateague Island National Seashore,National Seashore,MD,"2,074,764",1989
ROCR,Rock Creek Park,Park,DC,"2,049,651",1989
ZION,Zion National Park,National Park,UT,"1,998,856",1989
CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,DC,"1,970,287",1989
CHIC,Chickasaw National Recreation Area,National Recreation Area,OK,"1,962,353",1989
SHEN,Shenandoah National Park,National Park,VA,"1,873,817",1989
GLAC,Glacier National Park,National Park,MT,"1,821,523",1989
INDU,Indiana Dunes National Lakeshore,National Lakeshore,IN,"1,791,902",1989
MACA,Mammoth Cave National Park,National Park,KY,"1,672,840",1989
CHAT,Chattahoochee River National Recreation Area,National Recreation Area,GA,"1,668,113",1989
MORU,Mount Rushmore National Memorial,National Memorial,SD,"1,639,986",1989
OZAR,Ozark National Scenic Riverways,National Scenic Riverway,MO,"1,580,800",1989
MUWO,Muir Woods National Monument,National Monument,CA,"1,578,874",1989
WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,CA,"1,550,783",1989
LINC,Lincoln Memorial,National Memorial,DC,"1,462,609",1989
CABR,Cabrillo National Monument,National Monument,CA,"1,452,501",1989
VALR,World War II Valor in the Pacific National Monument,National Monument,HI,"1,370,153",1989
HALE,Haleakala National Park,National Park,HI,"1,367,761",1989
MORA,Mount Rainier National Park,National Park,WA,"1,354,302",1989
GETT,Gettysburg National Military Park,National Military Park,PA,"1,352,728",1989
GRTE,Grand Teton National Park,National Park,WY,"1,331,659",1989
AMIS,Amistad National Recreation Area,National Recreation Area,TX,"1,321,168",1989
FOPO,Fort Point National Historic Site,National Historic Site,CA,"1,292,627",1989
LAMR,Lake Meredith National Recreation Area,National Recreation Area,TX,"1,274,916",1989
HOSP,Hot Springs National Park,National Park,AR,"1,272,771",1989
SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,MI,"1,250,416",1989
BADL,Badlands National Park,National Park,SD,"1,237,956",1989
CUVA,Cuyahoga Valley National Park,National Park,OH,"1,159,648",1989
JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,WY,"1,153,981",1989
WAMO,Washington Monument,National Memorial,DC,"1,136,662",1989
CURE,Curecanti National Recreation Area,National Recreation Area,CO,"1,125,447",1989
LARO,Lake Roosevelt National Recreation Area,National Recreation Area,WA,"1,097,136",1989
WHHO,White House,Other Designation,DC,"1,060,548",1989
BUFF,Buffalo National River,National River,AR,"1,059,334",1989
HAVO,Hawai'i Volcanoes National Park,National Park,HI,"1,056,188",1989
SEQU,Sequoia National Park,National Park,CA,"1,056,020",1989
KICA,Kings Canyon National Park,National Park,CA,"1,037,349",1989
JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,LA,"1,025,164",1989
MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,GA,"1,012,217",1989
JOTR,Joshua Tree National Park,National Park,CA,"990,214",1989
CANA,Canaveral National Seashore,National Seashore,FL,"949,201",1989
JEFM,Thomas Jefferson Memorial,National Memorial,DC,"923,811",1989
MIMA,Minute Man National Historical Park,National Historical Park,MA,"916,595",1989
EVER,Everglades National Park,National Park,FL,"913,372",1989
CUGA,Cumberland Gap National Historical Park,National Historical Park,KY,"887,570",1989
CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,GA,"851,534",1989
MOCA,Montezuma Castle National Monument,National Monument,AZ,"835,802",1989
PEFO,Petrified Forest National Park,National Park,AZ,"824,141",1989
BRCA,Bryce Canyon National Park,National Park,UT,"808,045",1989
CAVE,Carlsbad Caverns National Park,National Park,NM,"792,378",1989
FOTH,Ford's Theatre National Historic Site,National Historic Site,DC,"781,697",1989
MANA,Manassas National Battlefield Park,National Battlefield Park,VA,"767,138",1989
CASA,Castillo de San Marcos National Monument,National Monument,FL,"766,621",1989
KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,GA,"762,422",1989
LOWE,Lowell National Historical Park,National Historical Park,MA,"735,209",1989
BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,TN,"730,183",1989
SAGU,Saguaro National Park,National Park,AZ,"706,191",1989
SAMA,Salem Maritime National Historic Site,National Historic Site,MA,"693,272",1989
DEVA,Death Valley National Park,National Park,CA,"664,449",1989
VIIS,Virgin Islands National Park,National Park,VI,"664,032",1989
REDW,Redwood National Park,National Park,CA,"654,115",1989
MORR,Morristown National Historical Park,National Historical Park,NJ,"643,232",1989
HAFE,Harpers Ferry National Historical Park,National Historical Park,WV,"624,168",1989
CACH,Canyon de Chelly National Monument,National Monument,AZ,"601,107",1989
MEVE,Mesa Verde National Park,National Park,CO,"600,045",1989
FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,MD,"591,376",1989
BISC,Biscayne National Park,National Park,FL,"589,957",1989
FIIS,Fire Island National Seashore,National Seashore,NY,"589,474",1989
PAIS,Padre Island National Seashore,National Seashore,TX,"586,235",1989
LIHO,Lincoln Home National Historic Site,National Historic Site,IL,"582,589",1989
VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,NY,"573,188",1989
VICK,Vicksburg National Military Park,National Military Park,LA,"571,862",1989
WHSA,White Sands National Monument,National Monument,NM,"568,530",1989
WOTR,Wolf Trap National Park for the Performing Arts,National Park,VA,"565,823",1989
PIRO,Pictured Rocks National Lakeshore,National Lakeshore,MI,"565,242",1989
WICA,Wind Cave National Park,National Park,SD,"561,758",1989
ARCH,Arches National Park,National Park,UT,"555,809",1989
SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,WI,"553,779",1989
DENA,Denali National Park,National Park,AK,"543,640",1989
DENA,Denali National Preserve,National Park,AK,"543,640",1989
CARE,Capitol Reef National Park,National Park,UT,"515,278",1989
SUCR,Sunset Crater Volcano National Monument,National Monument,AZ,"499,265",1989
CEBR,Cedar Breaks National Monument,National Monument,UT,"480,276",1989
WRBR,Wright Brothers National Memorial,National Memorial,NC,"472,894",1989
LAVO,Lassen Volcanic National Park,National Park,CA,"466,115",1989
FOPU,Fort Pulaski National Monument,National Monument,GA,"461,730",1989
THRO,Theodore Roosevelt National Park,National Park,ND,"459,171",1989
BICA,Bighorn Canyon National Recreation Area,National Recreation Area,WY,"455,401",1989
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,DC,"454,519",1989
FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,VA,"448,985",1989
ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,VA,"439,009",1989
DINO,Dinosaur National Monument,National Monument,CO,"436,303",1989
CRLA,Crater Lake National Park,National Park,OR,"430,734",1989
PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,HI,"414,380",1989
NERI,New River Gorge National River,National River,VA,"411,195",1989
FOWA,Fort Washington Park,Other Designation,MD,"404,922",1989
NOCA,North Cascades National Park,National Park,WA,"391,433",1989
COLM,Colorado National Monument,National Monument,CO,"388,588",1989
FOMA,Fort Matanzas National Monument,National Monument,FL,"383,003",1989
APCO,Appomattox Court House National Historical Park,National Historical Park,VA,"377,440",1989
PETE,Petersburg National Battlefield,National Battlefield,VA,"370,735",1989
RICH,Richmond National Battlefield Park,National Battlefield Park,VA,"366,848",1989
DETO,Devils Tower National Monument,National Monument,WY,"349,216",1989
CATO,Catoctin Mountain Park,Other Designation,MD,"342,375",1989
SHIL,Shiloh National Battlefield,National Battlefield,MS,"338,946",1989
JOFL,Johnstown Flood National Memorial,National Memorial,PA,"333,283",1989
BAND,Bandelier National Monument,National Monument,NM,"322,273",1989
ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,KY,"309,823",1989
PRWI,Prince William Forest Park,Park,VA,"305,127",1989
HEHO,Herbert Hoover National Historic Site,National Historic Site,IA,"299,831",1989
FOFR,Fort Frederica National Monument,National Monument,GA,"297,065",1989
TUIN,Tuskegee Institute National Historic Site,National Historic Site,AL,"289,050",1989
BLCA,Black Canyon of the Gunnison National Park,National Park,CO,"288,586",1989
LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,TX,"286,686",1989
BIBE,Big Bend National Park,National Park,TX,"281,728",1989
FORA,Fort Raleigh National Historic Site,National Historic Site,NC,"279,977",1989
FODO,Fort Donelson National Battlefield,National Battlefield,TN,"277,675",1989
GREE,Greenbelt Park,Other Designation,MD,"277,387",1989
FEHA,Federal Hall National Memorial,National Memorial,NY,"273,784",1989
SAAN,San Antonio Missions National Historical Park,National Historical Park,TX,"270,136",1989
GRSA,Great Sand Dunes National Park,National Park,CO,"266,321",1989
GRSA,Great Sand Dunes National Preserve,National Preserve,CO,"266,321",1989
WICR,Wilson's Creek National Battlefield,National Battlefield,MO,"262,687",1989
CANY,Canyonlands National Park,National Park,UT,"257,411",1989
FOSU,Fort Sumter National Monument,National Monument,SC,"256,455",1989
SAJH,San Juan Island National Historical Park,National Historical Park,WA,"251,399",1989
WUPA,Wupatki National Monument,National Monument,AZ,"245,948",1989
PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,DC,"241,631",1989
NEPE,Nez Perce National Historical Park,National Historical Park,WA,"241,625",1989
RABR,Rainbow Bridge National Monument,National Monument,UT,"238,307",1989
CALO,Cape Lookout National Seashore,National Seashore,NC,"232,644",1989
FOVA,Fort Vancouver National Historic Site,National Historic Site,WA,"229,464",1989
KIMO,Kings Mountain National Military Park,National Military Park,SC,"228,591",1989
UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,PA,"226,125",1989
LIBI,Little Bighorn Battlefield National Monument,National Monument,MT,"225,247",1989
PINN,Pinnacles National Park,National Park,CA,"218,601",1989
ORPI,Organ Pipe Cactus National Monument,National Monument,AZ,"216,814",1989
LIBO,Lincoln Boyhood National Memorial,National Memorial,IN,"211,587",1989
SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,CA,"209,908",1989
VOYA,Voyageurs National Park,National Park,MN,"209,626",1989
LEWI,Lewis and Clark National Historical Park,National Historical Park,WA,"206,821",1989
CHAM,Chamizal National Memorial,National Memorial,TX,"200,677",1989
STRI,Stones River National Battlefield,National Battlefield,TN,"189,904",1989
CRMO,Craters of the Moon National Monument,National Monument,ID,"189,317",1989
PISC,Piscataway Park,Other Designation,MD,"181,106",1989
HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,NY,"181,073",1989
HUTR,Hubbell Trading Post National Historic Site,National Historic Site,AZ,"172,873",1989
GUMO,Guadalupe Mountains National Park,National Park,TX,"168,872",1989
FONE,Fort Necessity National Battlefield,National Battlefield,PA,"167,945",1989
PEVI,Perry's Victory and International Peace Memorial,National Memorial,OH,"164,390",1989
SCBL,Scotts Bluff National Monument,National Monument,NE,"164,050",1989
CAGR,Casa Grande Ruins National Monument,National Monument,AZ,"164,011",1989
FLFO,Florissant Fossil Beds National Monument,National Monument,CO,"161,740",1989
SAHI,Sagamore Hill National Historic Site,National Historic Site,NY,"159,839",1989
CHIS,Channel Islands National Park,National Park,CA,"152,662",1989
GEWA,George Washington Birthplace National Monument,National Monument,VA,"150,381",1989
GLBA,Glacier Bay National Park,National Park,AK,"150,270",1989
GLBA,Glacier Bay National Preserve,National Preserve,AK,"150,270",1989
SARA,Saratoga National Historical Park,National Historical Park,NY,"149,280",1989
ANTI,Antietam National Battlefield,National Battlefield,MD,"147,007",1989
ANDE,Andersonville National Historic Site,National Historic Site,GA,"136,068",1989
WACA,Walnut Canyon National Monument,National Monument,AZ,"135,129",1989
APIS,Apostle Islands National Lakeshore,National Lakeshore,WI,"135,016",1989
JODA,John Day Fossil Beds National Monument,National Monument,OR,"134,710",1989
ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,PA,"133,324",1989
GUCO,Guilford Courthouse National Military Park,National Military Park,NC,"132,553",1989
JECA,Jewel Cave National Monument,National Monument,SD,"130,950",1989
CHRI,Christiansted National Historic Site,National Historic Site,VI,"128,656",1989
OCMU,Ocmulgee National Monument,National Monument,GA,"127,938",1989
TICA,Timpanogos Cave National Monument,National Monument,UT,"126,876",1989
DEPO,Devils Postpile National Monument,National Monument,CA,"125,623",1989
GERO,George Rogers Clark National Historical Park,National Historical Park,IN,"118,085",1989
DESO,De Soto National Memorial,National Memorial,FL,"116,714",1989
HSTR,Harry S Truman National Historic Site,National Historic Site,MO,"115,568",1989
EISE,Eisenhower National Historic Site,National Historic Site,PA,"113,847",1989
TUZI,Tuzigoot National Monument,National Monument,AZ,"113,344",1989
EFMO,Effigy Mounds National Monument,National Monument,IA,"109,665",1989
PIPE,Pipestone National Monument,National Monument,MN,"109,198",1989
PERI,Pea Ridge National Military Park,National Military Park,AR,"104,612",1989
NABR,Natural Bridges National Monument,National Monument,UT,"103,822",1989
ORCA,Oregon Caves National Monument and Preserve,National Monument,OR,"103,325",1989
HOFU,Hopewell Furnace National Historic Site,National Historic Site,PA,"103,195",1989
BOAF,Boston African American National Historic Site,National Historic Site,MA,"102,779",1989
SITK,Sitka National Historical Park,National Historical Park,AK,"102,503",1989
BITH,Big Thicket National Preserve,National Preserve,TX,"102,174",1989
STEA,Steamtown National Historic Site,National Historic Site,PA,"101,761",1989
HOBE,Horseshoe Bend National Military Park,National Military Park,AL,"100,863",1989
COWP,Cowpens National Battlefield,National Battlefield,SC,"95,020",1989
FOCA,Fort Caroline National Memorial,National Memorial,FL,"91,675",1989
KLGO,Klondike Gold Rush National Historical Park,National Historical Park,AK,"87,736",1989
FOSM,Fort Smith National Historic Site,National Historic Site,AR,"87,516",1989
AZRU,Aztec Ruins National Monument,National Monument,NM,"86,874",1989
THIS,Theodore Roosevelt Island,National Memorial,DC,"86,658",1989
CHCU,Chaco Culture National Historical Park,National Historical Park,NM,"84,433",1989
WHMI,Whitman Mission National Historic Site,National Historic Site,WA,"83,884",1989
NAVA,Navajo National Monument,National Monument,AZ,"83,615",1989
BICY,Big Cypress National Preserve,National Preserve,FL,"81,157",1989
LABE,Lava Beds National Monument,National Monument,CA,"76,871",1989
FOSC,Fort Scott National Historic Site,National Historic Site,KS,"76,753",1989
GEGR,General Grant National Memorial,National Memorial,NY,"76,011",1989
GRPO,Grand Portage National Monument,National Monument,MI,"75,673",1989
KEFJ,Kenai Fjords National Park,National Park,AK,"75,557",1989
SAIR,Saugus Iron Works National Historic Site,National Historic Site,MA,"75,536",1989
BUIS,Buck Island Reef National Monument,National Monument,VI,"73,779",1989
ANJO,Andrew Johnson National Historic Site,National Historic Site,TN,"71,350",1989
CHIR,Chiricahua National Monument,National Monument,AZ,"70,342",1989
